CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT
5000136483|1|5036603502|7269181|599|SECURE|N|N|Y|N|08/03/2023
1200131049|1|1201904218|6214236|573|L+G|N|N|Y|N|02/05/2019
1200131056|1|1201904225|6216473|573|L+G|N|N|N|N|07/05/2019
1200134420|1|1202805820|6353058|574|L&T|N|N|N|N|20/03/2020
1200134420|1|1202805820|6353058|574|L&T|N|N|N|N|20/03/2020
7500058342|1|7523411100|7058801|599|SECURE|N|N|N|N|13/07/2017
5000107851|1|5031501002|4280568|585|SECURE|N|N|Y|N|29/07/2010
1400072197|1|1405315408|6776079|576|GENUS|N|N|Y|N|13/04/2024
1200135161|1|1202802321|6369181|574|L&T|N|N|N|N|28/10/2020
1200139688|1|1202400416|6422886|576|GENUS|N|N|N|N|02/09/2021
4600125157|1|4609321200|4316660|550|SECURE|Y|N|N|N|08/12/2010
1200135561|1|1201008661|6373556|574|L&T|N|N|N|N|17/12/2020
5000061692|1|5038103100|5415747|569|SECURE|N|N|N|N|04/04/2016
4600128582|1|4600302901|6089454|574|L&T|N|N|N|N|07/02/2018
1200139795|1|1203006922|6614705|150|GENUS|N|N|N|N|03/11/2023
5000061902|1|5038311200|3184233|401|VLG|N|N|N|N|17/01/2003
1200140343|1|1201710626|6459189|574|L&T|N|N|N|N|24/09/2021
1400072632|1|1401201807|6830104|577|L&T|N|N|N|N|29/05/2024
4600021315|1|4613016100|4133487|590|L+G|N|N|N|N|07/04/2009
6100004148|1|6102624900|6420498|576|GENUS|N|N|N|N|15/07/2021
6100004204|1|6102630500|7020099|599|SECURE|Y|N|N|N|05/04/2017
4800046487|1|4820121700|2491264|802|VLG|N|N|N|N|27/10/1997
200102321|1|0226708501|4336278|590|L+G|N|N|Y|N|29/10/2010
800007850|1|0804208500|2367812|802|VLG|N|N|N|N|07/08/1997
800007879|1|0804211100|3059923|402|ABB(UK)|N|N|Y|N|08/01/2001
7000004603|1|7013007612|4344796|585|SECURE|N|N|Y|N|30/11/2010
7000004603|1|7013007612|4344796|585|SECURE|N|N|Y|N|30/11/2010
7000004603|1|7013007612|4344796|585|SECURE|N|N|N|N|30/11/2010
4800069896|1|4809705000|6446811|576|GENUS|N|N|N|N|09/10/2021
800006369|1|0803315800|5735359|571|GENUS|N|N|N|N|27/01/2017
7000005202|1|7008506901|5018199|568|L+G|N|N|N|N|01/07/2014
800008391|1|0804505200|6439555|551|SECURE|N|N|N|N|27/12/2021
900040854|1|0916910300|4829773|566|GENUS|N|Y|N|N|22/04/2014
400089526|1|0412820000|5885680|568|L+G|N|Y|N|N|02/01/2017
300017387|1|0302106300|4893328|585|SECURE|N|N|N|N|10/03/2014
300017449|1|0304410300|4542360|585|SECURE|N|N|N|N|28/11/2011
2900001432|1|2901202100|2835327|401|VLG|N|N|N|N|15/09/1999
4700021663|1|4708342800|4287276|585|SECURE|N|N|Y|N|16/08/2010
7600063388|1|7616903302|5097389|569|SECURE|N|N|Y|N|19/12/2014
200148813|1|0235601007|3972010|582|GENUS|N|N|N|N|29/12/2011
4700017960|1|4706911800|5084085|569|SECURE|N|N|N|N|28/10/2014
4700017991|1|4706913900|3375263|407|SCHLMBGR|N|N|Y|N|27/12/2004
6300001417|1|6300805800|6840912|576|GENUS|N|N|Y|N|12/07/2024
4700019318|1|4707420800|3597638|421|L+G|N|N|Y|N|30/12/2005
1700015463|1|1705608600|5095261|569|SECURE|Y|N|N|N|16/12/2014
300018139|1|0301025400|4412840|550|SECURE|N|N|N|N|07/04/2011
2900001840|1|2901334300|2434958|402|ABB(UK)|N|N|Y|N|21/05/2001
2900001970|1|2901417000|4570960|565|GENUS|N|N|N|N|24/09/2011
2900002012|1|2901517800|3166262|401|VLG|N|N|Y|N|21/09/2002
6100045597|1|6810207000|5765035|572|SIMCO|N|N|N|N|27/10/2016
1000097897|1|1019611920|7004092|599|SECURE|Y|N|Y|N|10/03/2017
5500016558|1|5508303800|3315148|407|SCHLMBGR|Y|N|Y|N|29/07/2003
6600023931|1|6609306103|4430615|590|L+G|N|N|N|N|27/05/2011
6600023973|1|6606400901|4463462|590|L+G|N|N|N|N|28/06/2011
900077775|1|0923110402|7150813|599|SECURE|N|N|Y|N|12/03/2021
5000149062|1|5028801802|6708734|576|GENUS|N|N|Y|N|06/12/2023
5000119358|1|5031015201|4275452|585|SECURE|N|N|Y|N|06/07/2010
2100000779|1|2102401000|4125241|550|SECURE|N|N|N|N|25/04/2009
2100000994|1|2102427200|2421960|804|ABB(UK)|N|N|Y|N|21/10/1999
5000095037|1|5025504100|3569451|421|L+G|N|N|N|N|01/10/2005
5000126087|1|5028415919|4520753|585|SECURE|N|Y|N|N|25/07/2011
5000126087|1|5028415919|4520753|585|SECURE|N|N|N|N|25/07/2011
5000126609|1|5027718214|4526151|585|SECURE|N|N|N|N|05/09/2011
5000139172|1|5030300605|4887535|585|SECURE|N|N|N|N|08/08/2013
5000139172|1|5030300605|4887535|585|SECURE|N|N|N|N|08/08/2013
5000139172|1|5030300605|4887535|585|SECURE|N|N|N|N|08/08/2013
5000141945|1|5030903300|6337716|576|GENUS|N|N|N|N|20/02/2021
5000101020|1|5029419001|3357067|425|ISKRA|N|N|N|N|28/10/2006
5000134572|1|5025706801|5646145|571|GENUS|N|N|Y|N|06/06/2016
5000148316|1|5024614401|5097774|569|SECURE|N|N|Y|N|27/12/2014
1600000310|1|1600208200|5053213|568|L+G|N|N|Y|N|02/04/2015
1600000452|1|1600302700|7259726|599|SECURE|N|N|N|N|05/12/2022
2100006005|1|2100314602|3311573|606|ISKRA|N|N|Y|N|03/11/2005
4500001261|1|4500525900|6642116|578|L&T|N|N|N|N|05/11/2023
4500001346|1|4500526800|3083036|405|ISKRA|N|N|Y|N|06/12/2001
2100004418|1|2101009700|2523250|802|VLG|N|N|N|N|09/02/1998
4500000495|1|4500214300|5497608|569|SECURE|N|N|N|N|14/03/2016
5700002233|1|5700915506|6721510|150|GENUS|N|N|N|N|10/07/2024
4500001440|1|4500603200|5539740|568|L+G|N|N|Y|N|03/05/2016
2100005786|1|2102216900|2123084|601|GEC(UK)|N|N|N|N|11/10/1996
2100001451|3|2100400900|6262378|551|SECURE|N|N|N|N|12/06/2019
2100001520|1|2100509900|6734470|576|GENUS|N|N|N|N|22/12/2023
5700001717|1|5700709700|6525311|150|GENUS|N|N|Y|N|02/02/2023
100000651|1|1600107301|2577030|802|VLG|N|N|Y|N|09/07/1998
200062407|1|0237810600|3133929|407|SCHLMBGR|N|N|Y|N|17/12/2002
200072753|1|0234100801|3778337|565|GENUS|N|N|Y|N|21/07/2007
200073298|1|0234204800|3432140|421|L+G|N|N|Y|N|02/12/2004
200059991|1|0233104100|7107824|599|SECURE|N|N|N|N|24/09/2018
200060036|1|0233108400|3583312|550|SECURE|N|N|Y|N|09/01/2006
1900016292|2|1900511600|2020221|803|VLG|N|N|Y|N|10/01/1996
3300007940|1|3302627000|2271946|802|VLG|N|Y|Y|N|23/11/1996
200061984|1|0234850900|3053009|401|VLG|N|N|Y|N|19/04/2002
3300009642|1|3303217300|5132429|571|GENUS|N|Y|N|N|20/09/2014
2600014258|1|2605223600|7302201|599|SECURE|N|N|N|N|25/07/2023
5700018642|4|5711404600|6542920|573|L+G|N|N|N|N|27/07/2022
2700010740|1|2701914001|5491177|569|SECURE|N|N|N|N|16/03/2016
2000002668|1|2001112600|3139754|407|SCHLMBGR|N|N|Y|N|30/04/2003
2000002668|1|2001112600|3139754|407|SCHLMBGR|N|N|Y|N|30/04/2003
5700016669|2|5710211600|2350394|603|GEC(UK)|N|N|N|N|13/01/1998
5700016669|2|5710211600|2350394|603|GEC(UK)|N|N|Y|N|13/01/1998
2000006754|1|2002903500|2835781|401|VLG|N|N|N|N|27/09/1999
4800029453|1|4817003700|3053627|401|VLG|N|N|N|N|17/04/2002
4800029455|1|4817004000|3185237|401|VLG|N|N|Y|N|16/01/2003
4800029496|1|4817010200|2622310|802|VLG|N|N|Y|N|21/09/1998
2000005078|1|2002204900|6387825|562|L&T|N|N|Y|N|11/03/2020
2000001357|1|2000521800|4264553|581|GENUS|N|N|N|N|12/07/2010
2000001872|1|2000805100|2156650|603|GEC(UK)|N|N|N|N|29/10/1996
2000001910|1|2000808400|2529000|802|VLG|N|N|Y|N|22/01/1998
2000004141|1|2001802800|6464387|576|GENUS|N|N|Y|N|13/01/2022
2000004141|1|2001802800|6464387|576|GENUS|N|N|Y|N|13/01/2022
2000004141|1|2001802800|6464387|576|GENUS|N|N|Y|N|13/01/2022
2000006047|1|2002600101|3475041|604|SIEMENS|N|N|N|N|09/12/2005
2000006150|1|2002609200|5085693|569|SECURE|N|N|Y|N|31/10/2014
5700017740|3|5710803400|5486045|569|SECURE|N|Y|N|N|21/03/2016
2600011021|1|2604009600|5887156|568|L+G|N|N|N|N|24/12/2016
2600011262|1|2604103101|2831373|401|VLG|N|N|Y|N|09/09/1999
2600012666|1|2604617900|4614192|585|SECURE|N|N|N|N|05/04/2012
5900010333|1|5904604402|2585054|802|VLG|N|N|Y|N|09/08/1998
2600010169|1|2603701800|5413197|569|SECURE|N|N|Y|N|28/03/2016
2600013137|1|2604815500|2794961|402|ABB(UK)|N|N|Y|N|08/05/2000
2600011774|1|2604302700|2793794|402|ABB(UK)|N|N|N|N|08/05/2000
800000195|1|0800131600|2860572|401|VLG|N|N|N|N|22/11/1999
6800015222|1|6802907401|4404137|585|SECURE|N|N|N|N|27/03/2011
2400008134|1|2402917300|3294081|421|L+G|N|N|N|N|08/04/2004
2400008336|1|2402209200|4878748|585|SECURE|N|N|Y|N|17/02/2014
2400003080|1|2401125600|5335443|569|SECURE|N|N|Y|N|08/02/2016
2400005076|1|2400103201|6450898|576|GENUS|N|N|N|N|11/11/2021
6800013093|1|6806610404|4252080|581|GENUS|N|N|N|N|20/05/2010
2400003349|1|2401217102|2924267|401|VLG|N|N|Y|N|07/07/2000
2400003628|1|2401307803|6696809|576|GENUS|N|N|N|N|09/11/2023
2400003628|1|2401307803|6696809|576|GENUS|N|N|N|N|09/11/2023
2400003820|1|2401322500|3349559|413|ALSTOM|N|N|Y|N|23/07/2003
2400003823|1|2401322800|5394119|568|L+G|N|Y|N|N|08/03/2016
2400005955|1|2400609500|5052748|568|L+G|N|N|Y|N|14/10/2015
6100015169|1|6111511900|3441408|421|L+G|N|N|Y|N|14/09/2004
2400006795|1|2402615400|6587708|577|L&T|N|N|N|N|28/01/2023
6100016734|1|6110001100|5182857|561|L+G|N|N|Y|N|07/01/2015
6100016886|1|6110016800|4210730|585|SECURE|N|N|N|N|27/03/2010
6800020593|1|6803820101|7167675|599|SECURE|N|N|N|N|09/07/2021
6100019054|1|6111221000|5612559|568|L+G|N|N|N|N|11/08/2016
800001460|1|0800817400|2651026|802|VLG|N|N|N|N|20/11/1998
4800090609|1|4845107300|4054635|581|GENUS|N|N|Y|N|21/02/2009
4800091957|1|4846621500|4148746|595|GENUS|N|N|N|N|15/07/2009
6700013367|1|6711109100|7015397|599|SECURE|Y|N|N|N|12/04/2017
2600040801|1|2601406902|2755140|401|VLG|N|N|N|N|16/06/1999
800022223|1|0811218700|5616885|568|L+G|N|N|Y|N|31/08/2016
3400034765|1|3403905504|4976686|598|SECURE|N|N|N|N|13/03/2014
4800088672|1|4837701500|6008057|568|L+G|N|Y|N|N|26/07/2017
800023617|1|0811901500|2625756|802|VLG|N|N|N|N|20/09/1998
3400036592|1|3404908900|3502920|407|SCHLMBGR|N|N|N|N|04/07/2005
6100088044|1|6117111601|4307121|550|SECURE|N|N|N|N|26/08/2010
1200080068|1|1213503707|3920236|582|GENUS|N|N|Y|N|19/04/2011
3400035874|1|3401500400|5942362|571|GENUS|N|N|Y|N|28/03/2017
1200082413|1|1217017100|6375171|574|L&T|N|N|Y|N|16/12/2020
7500024173|1|7518701900|6005379|568|L+G|Y|N|N|N|05/07/2017
1100034462|1|1127904300|4198322|585|SECURE|N|N|N|N|11/02/2010
1200077720|1|1216402212|4218642|575|ISKRA(SIMCO)|N|N|N|N|17/06/2015
4800095684|1|4838606102|7171638|599|SECURE|N|N|N|N|06/08/2021
1200081133|1|1215313108|3835704|582|GENUS|N|N|N|N|18/02/2011
3400035768|1|3400802137|5230326|551|SECURE|N|N|N|N|19/06/2015
1300218536|1|1348604759|6692896|576|GENUS|N|N|N|N|19/10/2023
4600122175|1|4639706810|4240774|585|SECURE|N|N|N|N|11/06/2010
7600081998|1|7615411623|6339083|576|GENUS|N|N|N|N|27/02/2021
7600093885|1|7614905502|6808050|578|L&T|N|N|N|N|10/04/2024
7600093885|1|7614905502|6808050|578|L&T|N|N|Y|N|10/04/2024
1200170186|1|1201403065|6666749|576|GENUS|N|N|N|N|01/07/2023
7600090853|1|7615511352|6643674|577|L&T|N|N|N|N|11/07/2023
1300219165|1|1348800983|6738170|576|GENUS|N|N|N|N|28/12/2023
