CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT|JOB_ID
3800008595|1|3803113900|5436181|569|SECURE|Y|N|Y|N|17/06/2016|20250300393
3800008599|1|3803114200|6806374|577|L&T|N|N|Y|N|30/04/2024|20250300394
3800009825|1|3803601000|6213423|573|L+G|N|N|Y|N|11/05/2019|20250300395
3800035707|1|3802213501|7125878|599|SECURE|N|N|Y|N|03/03/2020|20250300396
3800036489|1|3803908103|4982126|598|SECURE|Y|N|Y|N|17/04/2014|20250300397
3800041151|1|3804019701|6195771|574|L&T|N|N|Y|N|02/02/2019|20250300398
3800044412|1|3802303200|5432420|569|SECURE|N|N|Y|N|08/06/2016|20250300399
5700006568|1|5703310900|6879981|577|L&T|N|N|Y|N|03/09/2024|20250300403
5700013495|1|5708106300|7214671|599|SECURE|N|N|N|N|19/04/2022|20250300404
5700013595|1|5708206200|3729406|550|SECURE|Y|N|Y|N|05/10/2006|20250300405
5700035207|1|5718101906|6904022|576|GENUS|Y|N|N|N|04/12/2024|20250300406
5700041080|1|5711505516|3772372|550|SECURE|Y|N|Y|N|08/01/2007|20250300407
5700047145|1|5718517602|6346011|576|GENUS|Y|N|Y|N|16/04/2021|20250300408
5700048188|1|5705610106|4199945|585|SECURE|Y|N|Y|N|10/03/2010|20250300409
5700050412|1|5718517311|4371055|585|SECURE|Y|N|Y|N|07/02/2011|20250300410
5700053003|1|5704007100|5225441|561|L+G|Y|N|N|N|31/10/2015|20250300411
5700053490|1|5718507506|4655336|585|SECURE|N|N|N|N|24/05/2012|20250300412
5700079027|1|5709909302|3777180|550|SECURE|N|N|N|N|05/06/2007|20250300413
5700082582|2|5702004701|2722153|802|VLG|N|N|N|N|29/10/2024|20250300414
4400008697|1|4404100200|3583793|550|SECURE|Y|N|N|N|20/04/2006|20250300415
4400017204|1|4407913500|4564032|550|SECURE|N|N|Y|N|22/11/2011|20250300416
4400019120|14|4408818200|2938090|404|SCHLMBGR|N|N|N|N|14/02/2004|20250300417
4400034777|1|4401527600|4563260|550|SECURE|N|N|N|N|15/09/2011|20250300418
4400038185|1|4401525800|4342112|585|SECURE|N|N|Y|N|04/11/2010|20250300419
4400040665|1|4401530100|4971665|598|SECURE|N|N|N|N|17/02/2014|20250300420
4400047296|1|4406109701|6732272|576|GENUS|N|N|Y|N|15/12/2023|20250300421
4400047429|1|4407814803|5080669|569|SECURE|Y|N|N|N|29/09/2014|20250300422
4400047430|1|4407814804|5080670|569|SECURE|Y|N|N|N|29/09/2014|20250300423
4400047816|1|4401215603|5096156|569|SECURE|Y|N|N|N|12/12/2014|20250300424
4400048155|1|4401523901|5116029|569|SECURE|N|N|N|N|07/03/2015|20250300425
4400049024|1|4400215019|5299065|569|SECURE|N|N|Y|N|23/07/2015|20250300426
4400056108|1|4409210400|5308505|569|SECURE|N|N|Y|N|27/08/2015|20250300427
3400019271|1|3406404501|2879360|401|VLG|N|N|Y|N|03/03/2000|20250300428
4100019641|1|4103311004|6374979|574|L&T|N|N|N|N|13/01/2021|20250300429
2900051610|1|2908202602|3815579|589|L+G|N|N|Y|N|10/03/2011|20250300430
1300165086|1|1322010718|5014396|561|L+G|Y|N|N|N|08/12/2014|20250300431
2900051611|1|2908202603|5759653|569|SECURE|Y|N|N|N|08/12/2016|20250300432
2900018354|1|2910506000|4154745|550|SECURE|N|N|N|N|10/06/2015|20250300433
2500034432|1|2502501501|4081241|586|SECURE|N|Y|N|N|05/06/2009|20250300434
5000206474|1|5001710014|6805763|577|L&T|N|N|N|N|30/04/2024|20250300435
2400014343|1|2402019911|3958802|580|GENUS|Y|N|N|N|17/07/2008|20250300436
6000029027|1|6002514703|4466373|590|L+G|N|Y|Y|N|01/08/2011|20250300437
6700005200|1|6717311000|4910295|590|L+G|N|Y|N|N|16/09/2013|20250300439
800019549|1|0809708600|3700142|421|L+G|Y|N|N|N|28/07/2008|20250300440
1900024062|1|1905212006|5225606|561|L+G|N|Y|N|N|05/11/2015|20250300441
5100090336|1|5118712584|6154416|551|SECURE|N|N|N|N|27/08/2018|20250300442
6300096323|1|6309101802|5581838|551|SECURE|N|Y|N|N|29/07/2016|20250300443
800058621|1|0818005200|4436193|550|SECURE|N|Y|Y|N|26/05/2011|20250300446
500140694|1|0506300709|7254382|599|SECURE|N|N|Y|N|17/11/2022|20250300447
1200164050|1|1227723205|6750086|576|GENUS|N|N|N|N|10/02/2024|20250300449
900118899|1|0911704014|6947525|577|L&T|N|N|N|N|28/12/2024|20250300450
2400003823|1|2401322800|5394119|568|L+G|N|Y|N|N|08/03/2016|20250300451
3900021935|1|3907711000|5752260|569|SECURE|N|Y|N|N|21/11/2016|20250300452
6000026252|1|6001807011|6326608|573|L+G|N|N|N|N|24/02/2021|20250300453
2500031588|1|2506021800|2986321|401|VLG|N|Y|N|N|23/02/2001|20250300454
1300100340|1|1338108600|3566789|421|L+G|N|N|N|N|13/09/2005|20250300455
200020056|1|0208123600|3035332|401|VLG|N|N|N|N|04/04/2003|20250300456
6900014234|1|6908411007|4866432|581|GENUS|N|Y|N|N|15/10/2013|20250300457
6700009052|1|6713913800|5007026|102|GENUS|N|N|Y|N|23/06/2014|20250300458
2600062334|1|2607303601|6215787|573|L+G|N|N|N|N|17/05/2019|20250300459
4700083859|1|4721736300|4560766|550|SECURE|N|N|N|N|28/07/2011|20250300463
4300022003|1|4303019501|4421025|590|L+G|Y|N|Y|N|25/04/2011|20250300464
100001635|1|0116101000|4122541|550|SECURE|||||24/11/2008|20250300465
7600045570|1|7615903900|4181278|581|GENUS|N|Y|Y|N|27/01/2010|20250300466
1000079769|1|1010722800|4459695|590|L+G|N|Y|N|N|18/06/2011|20250300467
1400038080|1|1405103102|4451040|581|GENUS|N|N|N|N|15/10/2011|20250300469
1000067418|1|1029501300|7054673|599|SECURE|N|N|Y|N|10/07/2017|20250300470
1000067423|1|1029502600|4878383|585|SECURE|N|N|Y|N|06/07/2013|20250300471
1000114705|1|1029503302|6665509|576|GENUS|N|N|N|N|03/07/2023|20250300472
1000067431|1|1029503900|5317047|569|SECURE|N|N|Y|N|31/10/2015|20250300473
1400006130|1|1402702800|4645462|575|ISKRA(SIMCO)|N|N|N|N|07/05/2015|20250300474
6400048790|1|6405408405|4611779|585|SECURE|Y|N|N|N|10/03/2012|20250300475
7000021985|1|7003301502|5772515|572|SIMCO|Y|N|N|N|30/11/2016|20250300476
200113384|1|0224005602|4705847|550|SECURE|N|Y|N|N|01/09/2012|20250300477
500069660|1|0517401903|3453275|421|L+G|N|N|N|N|08/12/2004|20250300478
2900062349|1|2914109801|4545900|585|SECURE|Y|N|N|N|15/12/2011|20250300479
6700036423|1|6700504610|5101109|569|SECURE|Y|N|N|N|17/01/2015|20250300480
6200069081|1|6210907202|4999406|566|GENUS|N|Y|Y|N|23/06/2014|20250300481
1400052951|1|1405400503|4903583|590|L+G|N|N|Y|N|06/08/2013|20250300482
2900087814|1|2908806857|6079406|573|L+G|N|N|Y|N|20/10/2018|20250300483
1300106892|1|1311702100|4558905|585|SECURE|N|N|N|N|18/02/2012|20250300484
1400062403|1|1404207125|7202210|599|SECURE|N|N|N|N|04/03/2022|20250300485
4600132031|1|4651334400|5455274|568|L+G|N|N|N|N|09/04/2016|20250300486
6100062795|1|6909701900|3124676|406|SCHLMBGR|N|Y|N|N|28/09/2002|20250300487
900055445|1|0924009401|7298904|599|SECURE|N|N|N|N|13/07/2023|20250300501
900102893|1|0919604614|4952401|550|SECURE|Y|N|Y|N|12/08/2013|20250300502
200141762|1|0223309617|5301150|569|SECURE|N|N|N|N|30/07/2015|20250300503
200168360|1|0228512723|7238827|599|SECURE|N|N|Y|N|10/08/2022|20250300504
2900006374|1|2903807100|4703389|550|SECURE|N|N|Y|N|14/07/2012|20250300505
2900007112|1|2904306600|4675484|585|SECURE|N|N|Y|N|11/09/2012|20250300506
